dosef,energy,natom,mass,fmax,smax,hform,volume,gap_nosoc,gap
0,-16.11252858,4,247.7344,0.009337222,0.00014915,-0.046132146,327.2866388,0.159790609,0.16404519
0,-13.58198105,4,279.8564,0.007038859,7.93E-05,0.063504738,380.9098577,0.967953153,0.961595225
0,-12.55637273,4,373.6784,0.009620814,3.36E-05,0.022406816,401.4412367,0.869506517,0.750715114
0,-11.85220246,4,470.9364,0.007429077,2.14E-05,0.059449384,459.0208083,0.663120912,0.478298374
0,-16.54660299,4,425.931138,0.005010023,0.000360021,-0.009650748,322.6499292,0.165582215,0.175493361
0,-14.78038301,4,458.053138,0.003891336,0.00022872,-0.091095753,387.3227331,1.282603342,1.217788998
0,-13.68847294,4,551.875138,0.009050766,0.000198743,-0.115618235,414.2492295,1.18779398,0.956756791
0,-13.08992215,4,649.133138,0.009025619,0.000152919,-0.104980537,471.7205173,0.960039891,0.622154195
6.968932476,-25.65331814,4,181.986388,0.006946321,0.000340161,-0.259829536,204.8573757,0,0
0.460574869,-19.42925107,4,159.09,0.004204288,0.000690586,-0.457312768,266.6985804,0,0
0,-15.85108208,4,191.212,0.00622066,0.000513985,-0.085770519,314.9619885,0.639140163,0.623592936
0,-14.47923798,4,285.034,0.007815497,0.000456479,-0.040309494,319.8196354,0.519317259,0.447330353
0.651392026,-13.77610905,4,382.292,0.007199029,0.000489367,-0.003527263,267.5377611,0,0
1.632787063,-32.79996302,4,388.978,0.006247462,9.51E-05,-1.884990755,312.2246732,0,0
2.714894474,-25.593718,4,421.1,0.005642708,0.000109303,-0.606429501,326.0507802,0,0
1.253162873,-24.81270763,4,514.922,0.006061074,6.39E-05,-0.708676906,312.9656591,0,0
1.043289649,-23.04666422,4,612.18,0.010912889,0.000133717,-0.406166056,330.7774371,0,0
2.092453133,-29.36191562,4,416.432,0.007802288,0.000229158,-0.140478906,215.74834,0,0
3.818858537,-26.83296256,4,448.554,0.005627861,4.62E-05,-0.031240641,253.0351197,0,0
1.749320947,-24.9302896,4,639.634,0.012764699,0.000127671,0.0079276,276.8501601,0,0
2.137196995,-35.81159721,4,223.898,0.007624113,0.000197873,-0.789899303,242.30018,0,0
0.7750673,-31.43029756,4,256.02,0.009535771,8.90E-05,-0.21757439,245.8326555,0,0
0.933092928,-29.89859027,4,349.842,0.010587628,9.56E-05,-0.132147567,253.676857,0,0
1.882313108,-28.4661837,4,447.1,0.009955258,0.000139168,0.086954074,264.483881,0,0
0.468601596,-36.1194246,4,217.81074,0.009844361,0.000161608,-1.30485615,263.7619349,0,0
1.359595426,-31.08664472,4,249.93274,0.012924163,9.86E-05,-0.56966118,265.0969919,0,0
1.28650557,-29.45650021,4,343.75474,0.013286884,0.000175349,-0.459625052,270.6390944,0,0
1.412538335,-27.86788601,4,441.01274,0.002870498,3.34E-05,-0.201471501,281.5525233,0,0
2.743876118,-26.72327309,4,149.3848,0.009461062,0.000212978,-0.495318271,207.3468367,0,0
1.255316195,-33.04284908,4,412.458,0.008510371,0.000196243,-0.103212269,214.5184539,0,0
1.863314682,-29.04529369,4,444.58,0.007874388,7.87E-05,0.373176578,222.6973742,0,0
1.101893556,-27.58444909,4,538.402,0.006619808,5.73E-05,0.440887728,218.7594515,0,0
2.01377169,-27.01294009,4,635.66,0.014854998,0.000134334,0.444764977,162.6669345,0,0
1.262817406,-13.69158245,4,669.6,0.004281211,4.78E-05,0.059104388,355.694958,0,0
0.607897983,-23.86390093,4,422.166,0.0032308,0.000244147,-0.226975232,241.3782817,0,0
0.996580071,-21.45462053,4,454.288,0.009105768,4.55E-05,-0.147655133,265.0637154,0,0
1.957465086,-20.35491853,4,548.11,0.010877908,5.51E-05,-0.170229632,276.2758901,0,0
1.723007627,-19.93677329,4,645.368,0.007491762,0.000159304,-0.204693324,296.7498238,0,0
1.348885213,-35.02500409,4,404.412,0.010113832,0.000202109,-0.365251024,224.2362994,0,0
1.077526878,-30.79544902,4,436.534,0.005124623,0.000128441,0.169137745,223.3637542,0,0
1.457778843,-27.89377152,4,627.614,0.007987557,7.10E-05,0.458057121,201.9508586,0,0
1.368925874,-25.74468547,4,237.809,0.006538758,0.000209784,-0.300671367,239.8833685,0,0
2.03140386,-22.72009609,4,269.931,0.007387396,0.000140599,-0.067524023,233.7071746,0,0
2.218123366,-21.55136835,4,363.753,0.009409395,4.53E-05,-0.072842088,235.3207443,0,0
1.306730109,-21.75538552,4,461.011,0.007899631,8.71E-05,-0.262846381,273.7749959,0,0
1.701911242,-30.32078033,4,234.138,0.004887608,0.000169862,-0.286695082,220.634581,0,0
1.406679347,-26.39557834,4,266.26,0.00419992,5.41E-05,0.171605415,236.9429597,0,0
1.454702261,-25.32650796,4,360.082,0.002322714,3.89E-05,0.14137301,221.4505824,0,0
2.82628822,-24.18788439,4,457.34,0.007491595,0.000180294,0.287028903,200.4484604,0,0
1.614078425,-28.94710667,4,121.909816,0.00113883,0.000117189,-2.344776667,333.619765,0,0
0.460445373,-21.65619155,4,154.031816,0.009155438,0.000147261,-1.045047888,376.2008532,0,0
1.39473154,-20.38803661,4,247.853816,0.007460946,0.000103965,-1.025509153,330.1359085,0,0
1.834683068,-18.60762281,4,345.111816,0.003845167,4.13E-05,-0.719405701,358.9204344,0,0
0.654009322,-34.90564462,4,393.89376,0.003762243,0.000161839,-1.256411155,263.4020123,0,0
1.235434845,-29.58636328,4,426.01576,0.009781446,6.18E-05,-0.449590819,267.4667237,0,0
